"Name","birth_year","death_year","religion_name","ceda_name","person_ceda_first_year","person_ceda_last_year"
William Horton Lloyd,,,Quaker,ESL,1844,1847
Joseph Lister,1827,1912,Quaker,ESL,1844,1847
Thomas (1) Hodgkin,1798,1866,Quaker,ESL,1844,1862
John Henry Gurney,1819,1890,Quaker,ESL,1860,1867
Charles Henry Fox,,,Quaker,ESL,1861,1871
William Fowler,,,Quaker,ESL,1851,1851
Robert Nicholas Fowler,1828,1891,Quaker,ESL,1851,1871
David Dale,1829,1906,Quaker,ESL,1860,1863
x Collier,,,Quaker,ESL,1844,1844
William Clay,1791,1869,Quaker,ESL,1861,1868
Henry Christy,1810,1865,Quaker,ESL,1854,1865
James Bell,1818,1872,Quaker,ESL,1852,1862
James (1) Backhouse,1794,1869,Quaker,ESL,1869,1869
Edward Backhouse,1808,1879,Quaker,ESL,1870,1871
William Aldam,1813,1890,Quaker,ESL,1844,1848
