"Name","birth_year","death_year","religion_name","ceda_name","person_ceda_first_year","person_ceda_last_year"
William Spicer Wood,NA,1902,Quaker,APS,1864,1867
William Spicer Wood,NA,1902,Quaker,ASL,1863,1871
William Spicer Wood,NA,1902,Quaker,AI,1863,1871
William Wilson,"1,785",1868,Quaker,APS,1838,1865
William Wilson,"1,785",1868,Quaker,ASL,1865,1866
James Wilson,NA,NA,Quaker,APS,1862,1867
James Wilson,NA,NA,Quaker,ASL,1865,1865
E T Wakefield,NA,NA,Quaker,APS,1853,1864
E T Wakefield,NA,NA,Quaker,ASL,1865,1868
John Ross,NA,NA,Quaker,APS,1839,1852
J Robinson,NA,NA,Quaker,APS,1839,1840
J Robinson,NA,NA,Quaker,ASL,1865,1865
William Horton Lloyd,NA,NA,Quaker,APS,1862,1862
William Horton Lloyd,NA,NA,Quaker,ESL,1844,1847
Joseph Lister,"1,827",1912,Quaker,APS,1851,1855
Joseph Lister,"1,827",1912,Quaker,ESL,1844,1847
Jonathan Hutchinson,"1,828",1913,Quaker,APS,1857,1866
Jonathan Hutchinson,"1,828",1913,Quaker,ASL,1863,1871
Jonathan Hutchinson,"1,828",1913,Quaker,AI,1863,1871
William Holmes,NA,NA,Quaker,APS,1840,1867
William Holmes,NA,NA,Quaker,ASL,1865,1869
Thomas (1) Hodgkin,"1,798",1866,Quaker,QCA,1839,1847
Thomas (1) Hodgkin,"1,798",1866,Quaker,APS,1838,1866
Thomas (1) Hodgkin,"1,798",1866,Quaker,ESL,1844,1862
John Henry Gurney,"1,819",1890,Quaker,APS,1851,1860
John Henry Gurney,"1,819",1890,Quaker,ESL,1860,1867
George Stacey Gibson,"1,818",1883,Quaker,APS,1851,1863
George Stacey Gibson,"1,818",1883,Quaker,ASL,1864,1866
Charles Henry Fox,NA,NA,Quaker,APS,1838,1852
Charles Henry Fox,NA,NA,Quaker,ESL,1861,1871
Charles Henry Fox,NA,NA,Quaker,AI,1861,1871
William Fowler,NA,NA,Quaker,APS,1860,1867
William Fowler,NA,NA,Quaker,ESL,1851,1851
Robert Nicholas Fowler,"1,828",1891,Quaker,APS,1851,1867
Robert Nicholas Fowler,"1,828",1891,Quaker,ESL,1851,1871
Robert Nicholas Fowler,"1,828",1891,Quaker,AI,1851,1871
James T J Doyle,NA,NA,Quaker,APS,1839,1840
James T J Doyle,NA,NA,Quaker,ASL,1865,1868
David Dale,"1,829",1906,Quaker,APS,1864,1865
David Dale,"1,829",1906,Quaker,ESL,1860,1863
Henry Crowley,NA,1887,Quaker,APS,1851,1855
Henry Crowley,NA,1887,Quaker,ASL,1864,1871
Henry Crowley,NA,1887,Quaker,AI,1864,1871
x Collier,NA,NA,Quaker,APS,1860,1867
x Collier,NA,NA,Quaker,ESL,1844,1844
William Clay,"1,791",1869,Quaker,APS,1839,1868
William Clay,"1,791",1869,Quaker,ESL,1861,1868
Henry Christy,"1,810",1865,Quaker,APS,1840,1865
Henry Christy,"1,810",1865,Quaker,ESL,1854,1865
Charles Buxton,"1,823",1871,Quaker,APS,1851,1867
Charles Buxton,"1,823",1871,Quaker,ASL,1864,1866
William Bull,"1,828",1902,Quaker,APS,1854,1854
William Bull,"1,828",1902,Quaker,ASL,1867,1871
William Bull,"1,828",1902,Quaker,AI,1867,1871
Antonio Brady,"1,811",1881,Quaker,APS,1861,1863
Antonio Brady,"1,811",1881,Quaker,ASL,1864,1871
Antonio Brady,"1,811",1881,Quaker,AI,1864,1871
James Bell,"1,818",1872,Quaker,APS,1847,1862
James Bell,"1,818",1872,Quaker,ESL,1852,1862
James (1) Backhouse,"1,794",1869,Quaker,APS,1851,1867
James (1) Backhouse,"1,794",1869,Quaker,ESL,1869,1869
Edward Backhouse,"1,808",1879,Quaker,APS,1839,1867
Edward Backhouse,"1,808",1879,Quaker,ESL,1870,1871
Edward Backhouse,"1,808",1879,Quaker,AI,1870,1871
S  Stafford Allen,"1,840",1870,Quaker,APS,1861,1867
S  Stafford Allen,"1,840",1870,Quaker,ASL,1863,1870
William Aldam,"1,813",1890,Quaker,APS,1838,1848
William Aldam,"1,813",1890,Quaker,ESL,1844,1848
Arthur Albright,NA,NA,Quaker,APS,1861,1867
Rachel Albright,NA,NA,Quaker,APS,1860,1867
William Albright,NA,NA,Quaker,APS,1852,1860
William Jun Aldam,NA,NA,Quaker,APS,1838,1851
Frederick Alexander,NA,NA,Quaker,APS,1839,1840
Samuel Allen,NA,NA,Quaker,APS,1851,1864
John Arch,NA,NA,Quaker,APS,1852,1854
R Arthington,NA,NA,Quaker,APS,1855,1862
R Jun Arthington,NA,NA,Quaker,APS,1860,1862
C Ashby,NA,NA,Quaker,APS,1860,1860
T Jun Ashby,NA,NA,Quaker,APS,1861,1862
Thomas Ashby,NA,NA,Quaker,APS,1861,1867
Thomas Jun Ashby,NA,NA,Quaker,APS,1865,1865
Catherine Backhouse,NA,NA,Quaker,APS,1851,1861
Jonathan Backhouse,NA,NA,Quaker,APS,1838,1851
S Baker,NA,NA,Quaker,APS,1839,1840
Robert Barclay,NA,NA,Quaker,APS,1838,1855
Richard Barrington,NA,NA,Quaker,APS,1864,1867
Edward Beck,NA,NA,Quaker,APS,1838,1859
Eliza Bell,NA,NA,Quaker,APS,1851,1867
Frederick J Bell,NA,NA,Quaker,APS,1851,1857
S S Bell,NA,NA,Quaker,APS,1857,1866
Samuel Bewley,NA,NA,Quaker,APS,1866,1867
x Biffin,NA,NA,Quaker,APS,1861,1861
J Binyon,NA,NA,Quaker,APS,1856,1857
E L Birkbeck,NA,NA,Quaker,APS,1866,1866
H Birkbeck,NA,NA,Quaker,APS,1860,1860
W Blaine,NA,NA,Quaker,APS,1861,1862
Elizabeth Bowley,NA,NA,Quaker,APS,1860,1867
Henry Brady,NA,NA,Quaker,APS,1866,1867
Charles L Braithwaite,NA,NA,Quaker,APS,1866,1866
L Braithwaite,NA,NA,Quaker,APS,1860,1860
Isaac Brown,NA,NA,Quaker,APS,1839,1867
Joshua Brown,NA,NA,Quaker,APS,1860,1867
Lydia Brown,NA,NA,Quaker,APS,1862,1867
Sarah Burgess,NA,NA,Quaker,APS,1866,1867
Thomas Burgess,NA,NA,Quaker,APS,1860,1861
Thomas Fowell Buxton,NA,NA,Quaker,APS,1838,1867
W Catchpool,NA,NA,Quaker,APS,1855,1859
x Charleton,NA,NA,Quaker,APS,1860,1860
Samuel Clark,NA,NA,Quaker,APS,1839,1840
W Clemes,NA,NA,Quaker,APS,1853,1854
C Clothier,NA,NA,Quaker,APS,1860,1860
Joseph Cooper,NA,NA,Quaker,APS,1851,1867
George Crosfield,NA,NA,Quaker,APS,1838,1838
Joseph Crosland,NA,NA,Quaker,APS,1866,1867
A Crowley,NA,NA,Quaker,APS,1855,1863
A Dale,NA,NA,Quaker,APS,1861,1861
Elizabeth S Dawes,NA,NA,Quaker,APS,1867,1867
John Dodshon,NA,NA,Quaker,APS,1860,1867
Daniel Doncaster,NA,NA,Quaker,APS,1866,1867
Elizabeth Dyer,NA,NA,Quaker,APS,1860,1867
R Dymond,NA,NA,Quaker,APS,1862,1862
William Dyson,NA,NA,Quaker,APS,1864,1865
A Ellis,NA,NA,Quaker,APS,1860,1862
Thomas Evans,NA,NA,Quaker,APS,1860,1865
Ann Everett,NA,NA,Quaker,APS,1839,1861
Joseph Farden,NA,NA,Quaker,APS,1851,1866
John Fell,NA,NA,Quaker,APS,1852,1852
Mary Fell,NA,NA,Quaker,APS,1840,1840
S H Fisher,NA,NA,Quaker,APS,1855,1855
Caleb Fletcher,NA,NA,Quaker,APS,1854,1865
Martha Fletcher,NA,NA,Quaker,APS,1854,1855
John Ford,NA,NA,Quaker,APS,1854,1857
George Fox,NA,NA,Quaker,APS,1862,1867
Henry Fox,NA,NA,Quaker,APS,1862,1867
Robert Were Fox,NA,NA,Quaker,APS,1838,1867
Thomas Fox,NA,NA,Quaker,APS,1854,1861
x Fox,NA,NA,Quaker,APS,1861,1861
W Gayner,NA,NA,Quaker,APS,1855,1855
Joseph Gibbens,NA,NA,Quaker,APS,1860,1864
Ann Gibson,NA,NA,Quaker,APS,1860,1865
Francis Gibson,NA,NA,Quaker,APS,1840,1861
F  E Gibson,NA,NA,Quaker,APS,1860,1861
W G Gibson,NA,NA,Quaker,APS,1862,1862
T Gill,NA,NA,Quaker,APS,1861,1862
J Gillett,NA,NA,Quaker,APS,1863,1863
John Gillett,NA,NA,Quaker,APS,1860,1863
J Gilpin,NA,NA,Quaker,APS,1860,1862
James Gingell,NA,NA,Quaker,APS,1860,1862
John Good,NA,NA,Quaker,APS,1861,1867
Josiah Grace,NA,NA,Quaker,APS,1860,1861
Thomas Graham,NA,NA,Quaker,APS,1851,1858
John Green,NA,NA,Quaker,APS,1860,1863
T Gregory,NA,NA,Quaker,APS,1860,1862
G Grimshaw,NA,NA,Quaker,APS,1861,1862
x Hadfield,NA,NA,Quaker,APS,1864,1867
Isaac Hadwen,NA,NA,Quaker,APS,1852,1865
Robert Harding,NA,NA,Quaker,APS,1861,1867
Henry Harris,NA,NA,Quaker,APS,1861,1867
Lydia Harris,NA,NA,Quaker,APS,1840,1862
Thomas Harvey,NA,NA,Quaker,APS,1852,1867
George Head,NA,NA,Quaker,APS,1838,1865
Sarah Head,NA,NA,Quaker,APS,1859,1867
H Headley,NA,NA,Quaker,APS,1860,1860
W Hewitson,NA,NA,Quaker,APS,1860,1860
