"Name","Target","first_year","last_year"
William Adam,ESL,1844,1844
William (1) Adams,ESL,1844,1844
William (2) Adams,ESL,1858,1871
Louis Agassiz,ESL,1860,1871
Augustine Aglio,ESL,1843,1845
William Francis Harrison Ainsworth,ESL,1856,1860
Alexander Muirhead Aitken,ESL,1864,1871
Rutherford Alcock,ESL,1862,1871
William Aldam,ESL,1844,1848
William (Capt.) Allen,ESL,1858,1858
William Amhurst Tyssen Amhurst,ESL,1862,1871
W  P Andrew,ESL,1844,1847
x Andrews,ESL,1850,1850
Matthew John Anketell,ESL,1861,1868
Thomas Chisholm Anstey,ESL,1852,1863
x Antrim,ESL,1870,1871
William Appleyard,ESL,1854,1871
Frederick Scott Archer,ESL,1844,1851
William Armstrong,ESL,1865,1871
William Arthur,ESL,1853,1870
James Ashbury,ESL,1867,1868
William Henry Ashurst,ESL,1863,1871
Henry Ashworth,ESL,1866,1868
Charles A Atkins,ESL,1862,1863
E Atkinson,ESL,1861,1861
Alois Auer,ESL,1853,1869
Arthur Daniel Aulton,ESL,1862,1863
Edward Backhouse,ESL,1870,1871
James (1) Backhouse,ESL,1869,1869
Carl Ernst von Baer,ESL,1861,1871
John Bagehot,ESL,1865,1865
Walter ('Badgett') Bagehot,ESL,1865,1871
John Baker,ESL,1861,1871
Samuel C Baker,ESL,1866,1871
William Bailey Baker,ESL,1858,1871
George Balfour,ESL,1865,1871
John Bannister,ESL,1846,1846
John  Wheeldon Barnes,ESL,1870,1871
Robert Barnewall,ESL,1844,1847
John Stothert Bartrum,ESL,1865,1871
Adolf Bastian,ESL,1869,1871
Thomas Bateman,ESL,1861,1861
Thomas Henry Baylis,ESL,1870,1871
Lionel John Beale,ESL,1853,1869
Frank Carr Beard,ESL,1853,1853
William Beattie,ESL,1859,1863
Richard Beaumont,ESL,1856,1863
x Beechey,ESL,1855,1856
James Bell,ESL,1852,1862
John Bell (2),ESL,1852,1855
Robert Bell,ESL,1844,1844
William Abraham Bell,ESL,1869,1871
Lewis F Bellot,ESL,1844,1844
Richard Bentley,ESL,1843,1844
Bartholomew Bernasconi,ESL,1850,1850
Thomas Bigg,ESL,1863,1867
R S Birkbeck,ESL,1869,1869
W H Black,ESL,1869,1869
William Blackmore,ESL,1866,1871
J H Blackwell,ESL,1869,1869
Henry Jules Blanc,ESL,1866,1871
Henry George Bohn,ESL,1861,1871
John Peter Boileau,ESL,1860,1863
Henry James Bolding,ESL,1845,1845
William Bollaert,ESL,1862,1870
Louis Lucien Bonaparte,ESL,1862,1871
E Bonavia,ESL,1870,1871
George Bonavia,ESL,1869,1871
George Bonham,ESL,1861,1863
James Bonwick,ESL,1869,1871
Beriah Botfield,ESL,1844,1863
x Boucher de Crevecoeur de Perthes,ESL,1861,1868
x Boudin,ESL,1861,1867
x Bourien,ESL,1865,1865
Philip Bourjeaurd,ESL,1850,1856
Sydney Edward Bouverie Bouverie-Pusey,ESL,1862,1871
Frederick Bower,ESL,1846,1846
Robert Bowie,ESL,1845,1845
John Bowring,ESL,1844,1869
William Boxall,ESL,1844,1850
Charles Holt Bracebridge,ESL,1844,1871
Thomas Braddell,ESL,1866,1871
James Brady,ESL,1844,1844
William Bragge,ESL,1870,1871
Thomas Henry Brain,ESL,1846,1846
William Brent Brent,ESL,1844,1857
D J Breuneis,ESL,1850,1850
Edmund J Bridell,ESL,1843,1851
John Briggs,ESL,1845,1871
Lindsay Brine,ESL,1869,1871
Benjamin Collins Brodie,ESL,1844,1862
Henry (1) Brookes,ESL,1868,1871
x Brougham,ESL,1844,1868
John Brown,ESL,1844,1844
J  Cave Browne,ESL,1861,1861
Henry Brunskill,ESL,1849,1849
Walter Buchannan,ESL,1863,1863
James Silk Buckingham,ESL,1844,1844
W E Buckley,ESL,1843,1856
James Wentworth Buller,ESL,1861,1863
x Bunsen,ESL,1853,1860
Luke Burke,ESL,1861,1864
George Busk,ESL,1863,1871
Oliver Byrne,ESL,1845,1847
Charles Duncan Cameron,ESL,1861,1869
Archibald Campbell,ESL,1866,1871
George (1) Campbell,ESL,1866,1870
George (2) Campbell,ESL,1862,1863
Walter Campbell,ESL,1870,1871
William Camps,ESL,1844,1871
Frederick Stanley Carpenter,ESL,1866,1871
George Carter,ESL,1860,1860
Richard Cavendish,ESL,1864,1867
Edwin Chadwick,ESL,1845,1848
Hugo Mavesyn Chadwick,ESL,1852,1854
Charles Harcourt Chambers,ESL,1862,1871
Escott Chambers,ESL,1869,1869
William Charlton,ESL,1855,1871
Frederick Chatfield,ESL,1860,1862
William Dinsdale Child,ESL,1844,1871
Robert Walker Childs,ESL,1844,1844
T J Cholmondeley,ESL,1868,1871
William Dingle Chowne,ESL,1844,1844
Henry Christy,ESL,1854,1865
James Graham Churcher,ESL,1862,1863
x Clark,ESL,1843,1848
James Clark,ESL,1844,1870
C Clarke,ESL,1843,1843
Hyde Clarke,ESL,1867,1867
John Clarke,ESL,1855,1855
Robert Clarke,ESL,1862,1871
William Aloysius Clavering,ESL,1861,1871
William Clay,ESL,1861,1868
John Clendinning,ESL,1844,1848
William Clift,ESL,1844,1849
Edward North Clifton,ESL,1844,1844
Thomas Coates,ESL,1844,1844
W  Spencer Cockings,ESL,1862,1866
Thomas Edward Colebrooke,ESL,1860,1871
John Sherrard Coleman,ESL,1854,1871
x Collier,ESL,1844,1844
W W Collins,ESL,1862,1871
x Colonsay,ESL,1867,1871
John Conolly,ESL,1851,1855
George Ford Copeland,ESL,1861,1871
Tullie Cornthwaite,ESL,1845,1871
W Coulson,ESL,1844,1844
John Crawfurd,ESL,1847,1868
Oswald John Crawfurd,ESL,1861,1871
W J Crichton,ESL,1862,1868
J  McGregor Croft,ESL,1860,1862
Thomas Francis Dillon Croker,ESL,1857,1871
Jonathan Sparrow Crowley,ESL,1862,1867
Richard Cull,ESL,1845,1857
Henry Syer Cuming,ESL,1844,1844
Richard S Cunliffe,ESL,1855,1871
Alexander Cunningham,ESL,1869,1871
Manockjee Cursetjee,ESL,1865,1868
George Cutler,ESL,1860,1871
Marie-Armand de Castera-Macaya D'Avezac,ESL,1855,1871
T Dakin,ESL,1856,1856
David Dale,ESL,1860,1863
G  Wythes Daniell,ESL,1858,1871
William Freeman Daniell,ESL,1843,1865
Robert Dukinfield Darbishire,ESL,1868,1871
P  Francis Dart,ESL,1843,1851
Charles Darwin,ESL,1861,1871
Erasmus (Ras) Darwin,ESL,1862,1863
George Webbe Dasent,ESL,1860,1860
George Henry Daw,ESL,1868,1871
William Boyd Dawkins,ESL,1869,1871
G T Day,ESL,1844,1844
George Dennis,ESL,1869,1869
M Des Barres,ESL,1851,1862
x Devonshire,ESL,1862,1871
Hugh Welch Diamond,ESL,1846,1852
John jun Dickinson,ESL,1865,1871
John Jun Dickinson,ESL,1861,1869
Henry Dickman,ESL,1862,1869
Charles Sheffield Dickson,ESL,1848,1848
Peter Dickson,ESL,1866,1867
Charles Wentworth Dilke,ESL,1870,1871
Jacob Ludwig Dohne,ESL,1856,1871
Cornelius Donovan,ESL,1863,1869
Gustavus Dressler,ESL,1844,1844
x Dublin,ESL,1844,1863
Samuel Duckworth,ESL,1844,1848
William Duckworth,ESL,1863,1868
David Duncan,ESL,1870,1871
Peter Martin Duncan,ESL,1869,1869
R  Murray Dundas,ESL,1843,1845
Alfred John Dunkin,ESL,1868,1871
Robert Dunn,ESL,1844,1871
x Dunraven & Mountearl,ESL,1870,1871
Patrick Frederick Durham,ESL,1843,1849
William Thistleton Dyer,ESL,1845,1850
George Windsor Earl,ESL,1862,1862
Joseph William Eastwood,ESL,1862,1871
John Edwards,ESL,1870,1871
Francis Egerton,ESL,1844,1857
George Granville Francis Egerton,ESL,1857,1862
x Egypt,ESL,1862,1863
John Elder,ESL,1855,1855
Walter Elliot,ESL,1869,1871
J H Elliott,ESL,1849,1849
James Ellis,ESL,1862,1862
John Elphinstone,ESL,1844,1854
Mountstuart Elphinstone,ESL,1844,1859
John E Erichsen,ESL,1843,1847
William Erle,ESL,1863,1871
Kennedy Erskine,ESL,1861,1861
William Euing,ESL,1866,1871
John Evans,ESL,1861,1871
William Fairbairn,ESL,1863,1871
Adam Storey Farrar,ESL,1870,1871
Adolphe Duchart Fauvet,ESL,1843,1847
W S Featherstone,ESL,1846,1846
Edwin Foxton Firby,ESL,1864,1871
James Firm,ESL,1854,1871
Anthony Lax Fisher,ESL,1863,1867
Morton Coates Fisher,ESL,1870,1871
Robert Fitzroy,ESL,1851,1863
William S Fitzwilliam,ESL,1868,1871
James William Fleming,ESL,1861,1863
John B Fletcher,ESL,1847,1847
Joseph Fletcher,ESL,1844,1852
John Wickham Flower,ESL,1869,1871
George Folsom,ESL,1866,1869
David Forbes,ESL,1869,1871
Richard Fort,ESL,1864,1868
G A Forteath,ESL,1844,1844
Robert Nicholas Fowler,ESL,1851,1871
William Fowler,ESL,1851,1851
Charles Henry Fox,ESL,1861,1871
Augustus Wollaston Franks,ESL,1863,1871
Thomas Fraser,ESL,1865,1871
William Freund,ESL,1853,1871
John Friend,ESL,1851,1852
Albert Fytche,ESL,1866,1871
Griffin Curtis Galt,ESL,1845,1845
Douglas Galton,ESL,1861,1871
Francis Galton,ESL,1862,1871
C T Gardner,ESL,1869,1871
E V Gardner,ESL,1861,1871
Peter Gardner,ESL,1846,1871
Thomas B Gascoyne,ESL,1862,1863
John Peter Gassiot,ESL,1862,1871
x Gawler,ESL,1844,1846
Enrico Hillyer Giglioli,ESL,1862,1871
William Gillespie,ESL,1865,1871
James William Glass,ESL,1852,1852
x Glasse,ESL,1843,1856
Albert Gledstanes,ESL,1845,1845
George Grenfell Glyn,ESL,1860,1862
Isaac Lyon Goldsmid,ESL,1844,1847
Thomas Gole,ESL,1844,1847
Richard Thomas Gore,ESL,1860,1869
John Gould,ESL,1843,1860
D G Goyder,ESL,1855,1855
x Granville,ESL,1843,1844
George Bellas Greenough,ESL,1844,1855
William Greenwell,ESL,1868,1869
William Rathbone Greg,ESL,1865,1871
Charles Edward Grey,ESL,1860,1862
George Grey,ESL,1860,1871
Henry Rowland Ellison Grey,ESL,1861,1871
John Griffith,ESL,1848,1848
Richard Trygarn Griffith,ESL,1864,1866
J C Griffiths,ESL,1843,1849
Richard Clewin Griffiths,ESL,1844,1849
John Grover,ESL,1844,1847
Augustus Guest,ESL,1847,1847
William Vernon Guise,ESL,1869,1871
John Henry Gurney,ESL,1860,1867
Alexander Guthrie,ESL,1862,1862
James Guthrie,ESL,1862,1871
Johann Franz ('Julius') Haast,ESL,1870,1871
William Hall,ESL,1843,1850
Henry Hallam,ESL,1846,1852
Alexander C Hamilton,ESL,1869,1871
Archibald Hamilton,ESL,1863,1871
